index,Task Name,Description,Prompt*,Related Item in the EU Cancer Plan
1,Cancer Prevention Literacy,Evaluate LLM's ability to communicate cancer prevention strategies in a comprehensible way,Develop an information campaign on cancer prevention for a general audience,3.1) Improving health literacy on cancer risks and determinants
2,Tobacco Control Strategy,Test LLM's capability to design a policy on reducing tobacco use,Propose a policy to reduce tobacco consumption in a specific European country,3.2) Achieving a tobacco-free Europe
3,Early Detection Program Enhancement,Challenge the LLM to suggest improvements to current early detection programs,Recommend enhancements to a breast cancer early detection program in Europe,4.0) Improving early detection of cancer
4,Innovation in Cancer Care,Probe the LLM's capacity to generate innovative ideas for personalized cancer care,Develop a proposal for integrating recent technological advances into personalized cancer care,"5.4.) Building on the promise of personalised medicine for cancer prevention, diagnosis and treatment"
5,Health Workforce Training Strategy,Assess LLM's skill in creating strategies for training health workers in oncology,Propose a training program for primary care physicians on early cancer detection and referral,5.2.) Ensuring a high-quality health workforce
6,Improving Quality of Life,Employ the LLM to develop supportive programs for cancer patients,You are tasked to develop a policy or research strategy to improve the quality of life of cancer survivors.,6) Improving Quality of Life for Cancer patients
7,Strengthening International Cooperation,Evaluate LLM’s ability to design a policy that enforces international cooperation,You are tasked to develop a policy or research strategy to strengthen international cooperation in cancer research.,10) International Collaboration
8,Employ Data of Wearables,Challenge the LLM to design a strategy that employs wearables in a cancer prevention program,You are tasked to develop a policy or research strategy to employ the collective data of wearables in cancer screening.,2.2) Making the most of data and digitalisation
9,Hazardous Exposure identification.,Assess if the LLM can identify and prioritize strategies to decrease exposure to carcinogenic substances.,You are tasked to develop a policy or research strategy to reduce the exposure of the population to hazardous substances.,3.6) Reducing Exposure to hazardous substances
10,Reduce Cancers caused by infections.,Challenge the LLM to develop strategies that can decrease the number of cancers caused by infections.,You are tasked to develop a policy or research strategy to address cancer risks associated with HPV and Hepatitis B infections.,3.7) Preventing cancers caused by infections.
